0.012600 1:0.000000 2:0.000351 3:0.000000 4:0.000000 5:0.010578 6:0.158251 7:0.004129 8:0.005433 9:0.110352 10:0.013229 11:0.153499 12:0.003389 13:0.004653 14:0.106608 15:0.011314
0.018000 1:0.158251 2:0.004129 3:0.005433 4:0.110352 5:0.013229 6:0.153499 7:0.003389 8:0.004653 9:0.106608 10:0.011314 11:0.149391 12:0.002772 13:0.003927 14:0.103387 15:0.009702
0.021600 1:0.153499 2:0.003389 3:0.004653 4:0.106608 5:0.011314 6:0.149391 7:0.002772 8:0.003927 9:0.103387 10:0.009702 11:0.145747 12:0.002268 13:0.003287 14:0.100416 15:0.008360
0.021600 1:0.149391 2:0.002772 3:0.003927 4:0.103387 5:0.009702 6:0.145747 7:0.002268 8:0.003287 9:0.100416 10:0.008360 11:0.142252 12:0.001846 13:0.002750 14:0.097349 15:0.007205
0.027000 1:0.145747 2:0.002268 3:0.003287 4:0.100416 5:0.008360 6:0.142252 7:0.001846 8:0.002750 9:0.097349 10:0.007205 11:0.138571 12:0.001462 13:0.002323 14:0.093840 15:0.006134
0.032400 1:0.142252 2:0.001846 3:0.002750 4:0.097349 5:0.007205 6:0.138571 7:0.001462 8:0.002323 9:0.093840 10:0.006134 11:0.134439 12:0.001077 13:0.002011 14:0.089663 15:0.005053
0.037800 1:0.138571 2:0.001462 3:0.002323 4:0.093840 5:0.006134 6:0.134439 7:0.001077 8:0.002011 9:0.089663 10:0.005053 11:0.129818 12:0.000685 13:0.001838 14:0.084790 15:0.003911
0.043200 1:0.134439 2:0.001077 3:0.002011 4:0.089663 5:0.005053 6:0.129818 7:0.000685 8:0.001838 9:0.084790 10:0.003911 11:0.124914 12:0.000322 13:0.001847 14:0.079426 15:0.002732
0.048600 1:0.129818 2:0.000685 3:0.001838 4:0.084790 5:0.003911 6:0.124914 7:0.000322 8:0.001847 9:0.079426 10:0.002732 11:0.120188 12:0.000063 13:0.002101 14:0.073965 15:0.001603
0.054000 1:0.124914 2:0.000322 3:0.001847 4:0.079426 5:0.002732 6:0.120188 7:0.000063 8:0.002101 9:0.073965 10:0.001603 11:0.116214 12:0.000000 13:0.002657 14:0.068907 15:0.000675
0.054000 1:0.120188 2:0.000063 3:0.002101 4:0.073965 5:0.001603 6:0.116214 7:0.000000 8:0.002657 9:0.068907 10:0.000675 11:0.113524 12:0.000210 13:0.003542 14:0.064739 15:0.000100
